"","track.name","instrumentalness","Danceability","Acousticness","Country"
"246","INDUSTRY BABY (feat. Jack Harlow)",0,0.741,0.0221,"Brazil"
"247","Tiffany",0,0.746,0.28,"Brazil"
"248","Acordo - Ao Vivo",0,0.608,0.611,"Brazil"
"249","Namorando Com Saudade",0,0.678,0.312,"Brazil"
"250","Envolver",0.00186,0.813,0.15,"Brazil"
"251","אפס מאמץ",0.0103,0.847,0.113,"Israel"
"252","הולכת איתך",0,0.696,0.0251,"Israel"
"253","INDUSTRY BABY (feat. Jack Harlow)",0,0.741,0.0221,"Israel"
"254","STAY (with Justin Bieber)",0,0.591,0.0383,"Israel"
"255","חצי דפוק",1.18e-05,0.903,0.101,"Israel"
"256","חורף באוטו",4.06e-06,0.472,0.886,"Israel"
"257","מדליקה לי הכל",0,0.681,0.397,"Israel"
"258","Easy On Me",0,0.604,0.578,"Israel"
"259","love nwantiti (ah ah ah)",0.00137,0.727,0.365,"Israel"
"260","Pepas",6.98e-05,0.762,0.00776,"Israel"
"261","Heat Waves",6.7e-06,0.761,0.44,"Israel"
"262","Bad Habits",2.79e-05,0.807,0.0451,"Israel"
"263","מגבת באוויר",0,0.687,0.146,"Israel"
"264","Cold Heart - PNAU Remix",7.25e-05,0.795,0.0354,"Israel"
"265","באתי להציל אותך",0,0.785,0.33,"Israel"
"266","סחרחורת & בדד",0.00015,0.408,0.335,"Israel"
"267","abcdefu",0,0.695,0.299,"Israel"
"268","שקיעות אדומות",0,0.585,0.676,"Israel"
"269","Shivers",0,0.788,0.281,"Israel"
"270","Enemy (with JID) - from the series Arcane League of Legends",0,0.728,0.237,"Israel"
"271","בית משוגעים",2.97e-06,0.778,0.104,"Israel"
"272","Woman",0.00294,0.824,0.0888,"Israel"
"273","ביחד",0,0.565,0.402,"Israel"
"274","גדל לי קצת זקן",0,0.671,0.875,"Israel"
"275","לא להיות לבד",0.00122,0.558,0.000128,"Israel"
"276","מבטיח",0,0.411,0.611,"Israel"
"277","השמלה החדשה שלי",2.9e-05,0.814,0.0276,"Israel"
"278","רסיסים",0,0.59,0.413,"Israel"
"279","Toxic",0,0.594,0.835,"Israel"
"280","הטעות הכי יפה",0,0.712,0.369,"Israel"
"281","סיבת הסיבות",4.45e-05,0.773,0.541,"Israel"
"282","MONTERO (Call Me By Your Name)",0,0.593,0.293,"Israel"
"283","שבוע טוב",0,0.697,0.0107,"Israel"
"284","טרילילי טרללה",2.22e-05,0.777,0.0286,"Israel"
"285","Smokin Out The Window",0,0.627,0.0558,"Israel"
"286","זוגות כאלה",0,0.639,0.198,"Israel"
"287","THATS WHAT I WANT",0,0.737,0.00614,"Israel"
"288","Dale Mami",1.07e-05,0.852,0.0405,"Israel"
"289","ממתק",0.00607,0.912,0.0579,"Israel"
"290","Moth To A Flame (with The Weeknd)",0,0.542,0.00279,"Israel"
"291","מחילה",6.5e-05,0.546,0.535,"Israel"
"292","חנוכה",0,0.812,0.0344,"Israel"
"293","Bad Little Thing",0.000608,0.731,0.0339,"Israel"
"294","נשלים את הכל",0,0.57,0.515,"Israel"
"295","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)",0,0.631,0.274,"Israel"
"296","Beggin'",0,0.714,0.127,"Israel"
"297","‏קורבן",0,0.438,0.168,"Israel"
"298","good 4 u",0,0.563,0.335,"Israel"
"299","שמש",0,0.485,0.575,"Israel"
"300","One Right Now (with The Weeknd)",0,0.687,0.0361,"Israel"
